Muonio Sammaltunturi 	101983	8308	2821	67.97	24.12	555	weather, air quality (FMI)	1991
Mustasaari Valassaaret 	101464	3003	2910	63.44	21.07	4	weather	1895
Mäntsälä Hirvihaara 	103794	1440	2774	60.63	25.19	83	weather	2015
Nurmes Valtimo 	101743	4701	2798	63.67	28.83	114	weather	1969
Nurmijärvi Röykkä 	101149	1321	2983	60.51	24.65	110	weather	1952
Oulu Kaukovainio 	108040			65	25.52	13	weather	2023
Oulu Vihreäsaari harbour 	101794	5409	2876	65.01	25.39	3	weather	1996
Oulu airport 	101786	5401	2875	64.94	25.34	13	weather	1953
Parainen Fagerholm 	100924	19	2950	60.11	21.7	3	weather	1989
Parainen Utö 	100908	2	2981	59.78	21.37	6	weather, precipitation, air quality (FMI)	1881
Parikkala Koitsanlahti 	101254	1802	2734	61.44	29.46	74	weather	1991
Pelkosenniemi Pyhätunturi 	101958	7708	2705	67.02	27.22	489	weather	1995
Pello parish 	101914	7307	2844	66.77	23.96	86	weather	1970
Pietarsaari Kallan 	101660	4108	2920	63.75	22.52	2	weather	1995
Pirkkala Tampere-Pirkkala airport 	101118	1215	2944	61.42	23.62	112	weather	1979
Pori Tahkoluoto harbour 	101267	2013	2751	61.63	21.38	3	weather	1996
Pori airport 	101044	1001	2952	61.46	21.81	11	weather	1945
Pori railway station 	101064	1021	2926	61.48	21.78	9	weather	2008
Porvoo Emäsalo 	101023	417	2991	60.2	25.63	19	weather	1974
Porvoo Harabacka 	101028	422	2759	60.39	25.61	22	weather	2006
Porvoo Kalbådagrund 	101022	416	2987	59.99	25.6	0	weather	1977
Porvoo Kilpilahti harbour 	100683	424	2994	60.3	25.55	2	weather	2014
Pudasjärvi airfield 	101805	5507	2866	65.4	26.96	120	weather	1999
Puolanka Paljakka 	101831	5716	2859	64.66	28.06	341	weather	2009
Puumala parish 	150168	2708	2718	61.52	28.18	98	weather	2012
Pyhtää airfield 	107029	513		60.49	26.59	21	weather	2019
Pyhäjärvi Ojakylä 	101705	4412	2738	63.74	25.71	152	weather	1990
Raahe Lapaluoto harbour 	101785	5311	2872	64.67	24.41	2	weather	1990
