station_id,station,lat,lon
101363,Multia Pirttiperä,62.410444,25.05035
101367,Joutsa Savenaho,61.879418,26.094783
101385,Kangasniemi kirkonkylä,61.978417,26.633528
101398,Mikkeli lentoasema,61.688597,27.202188
101418,Juva Partala,61.892296,27.885278
101421,Varkaus Kosulanniemi,62.322213,27.90785
101423,Savonlinna Laukansaari,61.79607,28.84608
101430,Savonlinna lentoasema,61.946382,28.932381
101436,Rantasalmi Rukkasluoto,62.06302,28.56618
101441,Savonlinna Punkaharju Laukansaari,61.801861,29.315056
101446,Enonkoski Simanala,62.052223,29.04213
101448,Savonlinna Savonranta,62.16897,29.27713
101450,Rääkkylä kirkonkylä,62.311424,29.629538
101459,Tohmajärvi Kemie,62.23539,30.34662
101460,Joensuu Huhtilampi,62.42668,30.40736
