Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C02537,vt1_Paimio_Vista,60.42785,22.723271,,,
C02538,vt1_Salo_Hajala,60.43307,22.927452,,,
C02539,vt1_Salo_Halikko,60.426922,23.046429,,,
C02540,vt1_Salo_Pappila,60.41783,23.165136,,,
C02541,vt1_Salo_Isokylä,60.418295,23.134922,,,
C02542,vt1_Isokylän_tunneli_puomi_i,60.418497,23.157422,,,
C02543,vt1_Isokylän_tunneli_puomi_l,60.418845,23.146128,,,
C02545,vt9_Loimaa_Korpi,60.920967,23.208104,,,
C02546,st204_Pöytyä_Yläne,60.876875,22.39439,,,
C02550,st180_Kaarina_Kirjalansalmi,60.367144,22.358572,,,
C02551,vt8_Laitila_Palttila,60.890499,21.660864,,,
C02562,vt1_Salo_Haukkala,60.407366,23.211237,,,
C02563,st189_Naantali_Luonnonmaa,60.459147,21.983758,,,
C02564,vt1_Kaarina_Makarla,60.445487,22.563043,,,
C02565,vt1_Paimio_Pitkäporras,60.426842,22.820274,,,
C02569,st183_Kemiönsaari_Engelsby,60.163807,22.740708,,,
C02570,st180_Parainen_Nauvo,60.169432,21.78628,,,
C02571,st183_Kemiönsaari_Taalintehdas_K,60.044041,22.485968,,,
C02572,kt52_Salo_Perniö,60.172839,23.147451,,,
C02573,vt8_Pori_Ahlainen_K,61.651109,21.758195,,,
C02574,vt8_Merikarvia_Kuvaskangas,61.943607,21.624488,,,
C02586,vt2_Kokemäki_Seppälänahde,61.20855,22.447849,,,
C02587,vt2_Huittinen_Korvenmaa,61.106727,22.849562,,,
C02588,vt23_Kankaanpää_Hapua,61.800246,22.290034,,,
C02590,Åland_Eckerö,60.211657,19.618722,,,
C03502,st170_Pyhtää_Ahvenkoski,60.491874,26.455241,,,
C03504,vt6_Kouvola_Utti_YPS,60.886259,26.819304,,,
C03505,vt13_Ostolahti,61.453342,27.264606,,,
C03506,vt6_Kouvola_Keltti,60.872855,26.602185,,,
C03507,vt23_Heinävesi_Karvio,62.515174,28.644309,,,
C03509,vt5_Juva_Hatsola,61.877345,27.767777,,,
C03518,vt14_Savonlinna_Kyrönsalmi_silta,61.869682,28.905753,,,
C03519,vt15_Kouvola_Keltakangas,60.748653,26.842825,,,
C03522,vt6_Parikkala_Särkisalmi,61.603414,29.481726,,,
C03523,vt5_Mäntyharju_Vihantasalmi,61.441703,26.679036,,,
C03524,vt15_Kotka_Kotkansaari,60.463908,26.921338,,,
