Latitude,Longitude,Timestamp,temp,name
63.37806,28.66166,2023-12-30 17:00:00,-10.6,Rautavaara Ylä-Luosta
66.57283,25.84865,2023-12-30 02:00:00,-12.4,Rovaniemi lentoasema AWOS
64.66589,24.40695,2023-12-28 21:00:00,-4.8,Raahe Lapaluoto satama
68.478,28.30123,2023-12-31 07:00:00,-15.8,Inari Raja-Jooseppi
61.46561,23.74678,2023-12-31 00:00:00,-14.8,Tampere Härmälä
60.24446,24.04951,2024-01-01 05:00:00,-19.1,Lohja Porla
60.25299,25.04549,2023-12-29 16:00:00,0.1,Helsinki Malmi lentokenttä
68.478,28.30123,2024-01-01 10:00:00,-13.8,Inari Raja-Jooseppi
67.95828,23.68438,2023-12-31 13:00:00,-21.7,Muonio Oustajärvi
69.04277,20.85091,2023-12-29 17:00:00,-12.9,Enontekiö Kilpisjärvi Saana
65.40014,26.96311,2023-12-29 17:00:00,-10.6,Pudasjärvi lentokenttä
61.6886,27.20219,2023-12-30 16:00:00,-12.3,Mikkeli lentoasema
62.32783,23.54228,2023-12-29 17:00:00,-4.7,Virrat Äijänneva
66.56236,25.83814,2024-01-01 05:00:00,-21.8,Rovaniemi lentoasema
60.48595,26.59209,2023-12-31 21:00:00,-15.3,Pyhtää lentokenttä
60.88909,26.92929,2023-12-30 12:00:00,-6.7,Kouvola Utti Lentoportintie
62.32783,23.54228,2023-12-28 15:00:00,-5.1,Virrat Äijänneva
69.04277,20.85091,2023-12-30 21:00:00,-16.4,Enontekiö Kilpisjärvi Saana
67.66924,24.92927,2023-12-29 12:00:00,-11.8,Kittilä Pakatti
65.38508,24.09568,2024-01-01 05:00:00,-15.3,Kemi I majakka
60.41875,24.39862,2023-12-31 00:00:00,-12.1,Vihti Maasoja
66.52952,24.6496,2023-12-31 14:00:00,-22.1,Ylitornio Meltosjärvi
62.18329,22.79983,2023-12-28 15:00:00,-5.3,Karvia Alkkia
68.61336,27.4189,2023-12-29 11:00:00,-11.6,Inari Ivalo lentoasema
61.46011,21.80839,2023-12-31 10:00:00,-15.6,Pori lentoasema
68.06284,24.03335,2023-12-29 11:00:00,-10.9,Muonio Laukukero
61.94638,28.93238,2023-12-28 20:00:00,-6.4,Savonlinna lentoasema
69.14089,27.26567,2024-01-01 10:00:00,-23.5,Inari Kaamanen
66.8166,28.68829,2023-12-30 22:00:00,-16.9,Salla kirkonkylä
60.17797,24.78743,2023-12-31 18:00:00,-14.7,Espoo Tapiola
63.43508,21.06856,2023-12-31 15:00:00,-4.9,Mustasaari Valassaaret
62.51044,24.80764,2023-12-29 16:00:00,-6.5,Multia Karhila
63.14343,27.31317,2023-12-28 20:00:00,-6.3,Kuopio Maaninka
61.0403,28.12916,2024-01-01 01:00:00,-15.7,Lappeenranta lentoasema
62.33382,21.19081,2023-12-31 18:00:00,-13.4,Kaskinen Sälgrund
66.15344,24.9901,2024-01-01 02:00:00,-29.7,Tervola Loue
63.43508,21.06856,2023-12-29 17:00:00,-4.1,Mustasaari Valassaaret
65.01967,24.72758,2023-12-30 01:00:00,-13.0,Hailuoto Keskikylä
65.99763,29.22268,2023-12-29 00:00:00,-10.3,Kuusamo Välikangas
63.08225,25.85862,2023-12-29 12:00:00,-7.4,Viitasaari Haapaniemi
69.14089,27.26567,2023-12-28 12:00:00,-24.5,Inari Kaamanen
67.95828,23.68438,2023-12-29 00:00:00,-18.0,Muonio Oustajärvi
60.09136,19.9291,2023-12-29 16:00:00,0.8,Maarianhamina Länsisatama
62.51044,24.80764,2023-12-31 12:00:00,-13.8,Multia Karhila
65.67319,24.5152,2023-12-28 22:00:00,-6.7,Kemi Ajos
60.30098,19.13142,2023-12-28 21:00:00,2.4,Hammarland Märket
60.17123,22.75768,2023-12-28 20:00:00,-0.4,Kemiönsaari Kemiö
67.69168,24.85538,2023-12-29 10:00:00,-12.1,Kittilä lentoasema
63.75144,22.52282,2023-12-31 22:00:00,-14.2,Pietarsaari Kallan
68.08422,27.18501,2023-12-30 14:00:00,-23.4,Sodankylä Vuotso
61.85959,24.81483,2023-12-31 18:00:00,-18.7,Jämsä Halli Lentoasemantie
67.66924,24.92927,2024-01-01 07:00:00,-15.6,Kittilä Pakatti
66.8166,28.68829,2023-12-29 08:00:00,-8.3,Salla kirkonkylä
64.14263,25.42335,2023-12-29 03:00:00,-6.5,Haapavesi Mustikkamäki
61.46011,21.80839,2023-12-29 19:00:00,-2.7,Pori lentoasema
63.14166,31.04454,2023-12-31 08:00:00,-10.8,Ilomantsi Pötsönvaara
63.72655,23.14359,2023-12-29 21:00:00,-7.8,Kruunupyy Kokkola-Pietarsaari lentoasema
63.8409,27.22061,2023-12-29 03:00:00,-7.3,Vieremä Kaarakkala
60.7222,21.02681,2024-01-01 03:00:00,-11.7,Kustavi Isokari
59.91982,24.35023,2023-12-31 05:00:00,-11.9,Kirkkonummi Mäkiluoto
61.83864,22.46368,2023-12-29 16:00:00,-4.0,Kankaanpää Niinisalo lentokenttä
65.84733,24.17369,2023-12-30 00:00:00,-9.5,Tornio Torppi
64.50144,26.42386,2023-12-31 12:00:00,-13.9,Vaala Pelso
67.99746,24.20955,2023-12-31 12:00:00,-19.7,Kittilä Lompolonvuoma
61.20008,26.04967,2024-01-01 06:00:00,-18.3,Heinola Asemantaus
63.72655,23.14359,2023-12-28 16:00:00,-4.6,Kruunupyy Kokkola-Pietarsaari lentoasema
61.1982,28.47308,2023-12-30 11:00:00,-8.1,Lappeenranta Hiekkapakka
64.2976,30.17061,2023-12-29 13:00:00,-11.3,Kuhmo Kalliojoki
65.84733,24.17369,2023-12-31 15:00:00,-16.8,Tornio Torppi
66.77278,23.96303,2023-12-29 23:00:00,-12.2,Pello kirkonkylä
66.52952,24.6496,2024-01-01 05:00:00,-32.0,Ylitornio Meltosjärvi
67.98721,24.24301,2023-12-31 14:00:00,-19.8,Kittilä Kenttärova
65.38508,24.09568,2023-12-30 12:00:00,-8.2,Kemi I majakka
62.54601,29.66818,2023-12-31 17:00:00,-16.4,Liperi Tuiskavanluoto
62.23539,30.34662,2023-12-31 23:00:00,-19.4,Tohmajärvi Kemie
60.20867,25.1959,2023-12-28 17:00:00,0.5,Helsinki Vuosaari satama
62.33382,21.19081,2023-12-29 12:00:00,-1.5,Kaskinen Sälgrund
61.4194,23.62256,2023-12-31 06:00:00,-15.9,Pirkkala Tampere-Pirkkala lentoasema
60.81397,23.49825,2023-12-30 15:00:00,-6.4,Jokioinen Ilmala
66.57944,26.01094,2023-12-29 03:00:00,-8.1,Rovaniemi Apukka
60.50872,24.65375,2023-12-29 12:00:00,-1.1,Nurmijärvi Röykkä
60.27476,26.44759,2023-12-31 11:00:00,-11.1,Loviisa Orrengrund
66.15344,24.9901,2023-12-30 04:00:00,-12.1,Tervola Loue
61.85551,24.80459,2023-12-29 08:00:00,-5.1,Jämsä Halli lentoasema
65.99334,29.22715,2023-12-29 04:00:00,-9.4,Kuusamo lentoasema
62.39758,25.67087,2023-12-30 23:00:00,-16.6,Jyväskylä lentoasema
64.14263,25.42335,2023-12-29 06:00:00,-6.7,Haapavesi Mustikkamäki
64.14263,25.42335,2024-01-01 08:00:00,-21.8,Haapavesi Mustikkamäki
63.14343,27.31317,2023-12-29 17:00:00,-16.8,Kuopio Maaninka
64.05029,24.72468,2023-12-30 18:00:00,-19.1,Ylivieska lentokenttä
61.46011,21.80839,2024-01-01 00:00:00,-20.6,Pori lentoasema
62.99842,27.80817,2023-12-31 13:00:00,-14.0,Siilinjärvi Kuopio lentoasema
63.08898,24.26084,2023-12-30 12:00:00,-12.7,Alajärvi Möksy
67.99996,24.24016,2023-12-29 20:00:00,-12.9,Kittilä Matorova
61.26521,25.52021,2023-12-30 13:00:00,-7.4,Asikkala Pulkkilanharju
69.04277,20.85091,2023-12-30 08:00:00,-15.6,Enontekiö Kilpisjärvi Saana
60.20307,24.96131,2024-01-01 06:00:00,-16.2,Helsinki Kumpula
60.37538,26.95893,2023-12-30 21:00:00,-8.7,Kotka Rankki
61.03879,28.56395,2023-12-29 17:00:00,-3.4,Lappeenranta Konnunsuo
60.46415,23.64976,2023-12-30 16:00:00,-6.1,Salo Kiikala lentokenttä
63.23236,29.23397,2023-12-31 00:00:00,-19.1,Juuka Niemelä
62.68571,22.84272,2023-12-30 17:00:00,-12.6,Ilmajoki Seinäjoki lentoasema
63.23236,29.23397,2023-12-30 05:00:00,-14.3,Juuka Niemelä
62.93808,22.48878,2023-12-30 16:00:00,-11.4,Seinäjoki Pelmaa
63.23236,29.23397,2023-12-31 15:00:00,-14.1,Juuka Niemelä
63.44564,24.44422,2023-12-30 20:00:00,-14.9,Halsua Purola
61.47893,21.7832,2023-12-30 15:00:00,-5.2,Pori rautatieasema
64.05029,24.72468,2023-12-30 23:00:00,-18.0,Ylivieska lentokenttä
67.74858,29.61132,2023-12-31 02:00:00,-9.1,Salla Värriötunturi
65.57489,28.21766,2023-12-30 03:00:00,-11.3,Taivalkoski kirkonkylä
61.85551,24.80459,2023-12-29 12:00:00,-4.8,Jämsä Halli lentoasema
60.48595,26.59209,2023-12-29 21:00:00,-2.8,Pyhtää lentokenttä
59.93114,24.01408,2023-12-30 17:00:00,-3.8,Inkoo Bågaskär
61.05754,28.20873,2023-12-31 10:00:00,-15.2,Lappeenranta Lepola
59.84383,23.24859,2023-12-28 20:00:00,0.4,Hanko Tvärminne
59.94898,24.92631,2023-12-30 22:00:00,-6.1,Helsinki Helsingin majakka
65.38508,24.09568,2023-12-29 04:00:00,-6.9,Kemi I majakka
60.29128,24.56782,2023-12-29 10:00:00,-0.2,Espoo Nuuksio
66.52952,24.6496,2024-01-01 00:00:00,-27.7,Ylitornio Meltosjärvi
65.01967,24.72758,2023-12-29 00:00:00,-6.6,Hailuoto Keskikylä
60.30373,25.54916,2023-12-31 11:00:00,-13.0,Porvoo Kilpilahti satama
63.72655,23.14359,2023-12-29 16:00:00,-5.5,Kruunupyy Kokkola-Pietarsaari lentoasema
65.67319,24.5152,2023-12-30 04:00:00,-12.3,Kemi Ajos
63.83882,23.09715,2023-12-31 23:00:00,-17.6,Kokkola Santahaka
61.46011,21.80839,2023-12-28 17:00:00,-2.8,Pori lentoasema
62.89256,27.63331,2023-12-29 16:00:00,-12.5,Kuopio Savilahti
68.3614,23.42755,2023-12-29 20:00:00,-16.5,Enontekiö lentoasema
60.25299,25.04549,2023-12-29 21:00:00,-1.0,Helsinki Malmi lentokenttä
60.64668,23.80559,2023-12-29 18:00:00,-3.0,Somero Salkola
67.95828,23.68438,2023-12-28 13:00:00,-23.1,Muonio Oustajärvi
59.95911,19.95374,2023-12-30 04:00:00,0.2,Lemland Nyhamn
69.03905,20.81379,2023-12-31 02:00:00,-24.6,Enontekiö Kilpisjärvi kyläkeskus
69.07219,27.4925,2023-12-30 10:00:00,-26.0,Inari Väylä
62.79892,27.90495,2023-12-29 13:00:00,-12.6,Kuopio Ritoniemi
66.52952,24.6496,2023-12-28 14:00:00,-20.4,Ylitornio Meltosjärvi
66.71556,27.15906,2023-12-29 23:00:00,-16.0,Kemijärvi lentokenttä
64.33073,23.44627,2023-12-28 13:00:00,-3.7,Kalajoki Ulkokalla
60.64668,23.80559,2023-12-30 13:00:00,-5.8,Somero Salkola
63.44564,24.44422,2024-01-01 05:00:00,-27.4,Halsua Purola
61.87942,26.09478,2023-12-29 14:00:00,-5.4,Joutsa Savenaho
60.25299,25.04549,2023-12-28 12:00:00,-1.7,Helsinki Malmi lentokenttä
62.39758,25.67087,2023-12-28 14:00:00,-5.7,Jyväskylä lentoasema
64.2829,27.67114,2023-12-29 10:00:00,-11.0,Kajaani lentoasema
63.14166,31.04454,2023-12-30 20:00:00,-14.6,Ilomantsi Pötsönvaara
66.8166,28.68829,2023-12-29 06:00:00,-8.7,Salla kirkonkylä
68.3614,23.42755,2023-12-31 04:00:00,-26.9,Enontekiö lentoasema
60.28676,27.18482,2023-12-30 10:00:00,-2.1,Kotka Haapasaari
63.44564,24.44422,2023-12-30 03:00:00,-12.9,Halsua Purola
65.99334,29.22715,2023-12-28 11:00:00,-23.4,Kuusamo lentoasema
63.8409,27.22061,2023-12-31 18:00:00,-14.4,Vieremä Kaarakkala
64.14263,25.42335,2023-12-29 12:00:00,-7.9,Haapavesi Mustikkamäki
69.14089,27.26567,2023-12-31 05:00:00,-22.7,Inari Kaamanen
60.48595,26.59209,2023-12-30 11:00:00,-2.9,Pyhtää lentokenttä
64.33073,23.44627,2023-12-30 13:00:00,-9.2,Kalajoki Ulkokalla
59.77909,21.37479,2023-12-29 01:00:00,2.5,Parainen Utö
61.46011,21.80839,2023-12-28 15:00:00,-3.4,Pori lentoasema
66.32027,29.39967,2023-12-29 15:00:00,-11.9,Kuusamo Juuma
63.14343,27.31317,2023-12-30 10:00:00,-14.4,Kuopio Maaninka
61.6886,27.20219,2023-12-29 15:00:00,-5.9,Mikkeli lentoasema
63.95114,22.84537,2024-01-01 00:00:00,-13.2,Kokkola Tankar
60.30098,19.13142,2023-12-30 15:00:00,-0.9,Hammarland Märket
68.84928,28.29911,2023-12-30 14:00:00,-18.2,Inari Nellim
64.21678,27.75194,2024-01-01 05:00:00,-20.3,Kajaani Petäisenniska
61.25294,22.34613,2023-12-31 17:00:00,-19.3,Kokemäki Tulkkila
61.44467,29.46108,2023-12-29 08:00:00,-6.8,Parikkala Koitsanlahti
65.78944,24.58278,2024-01-01 09:00:00,-30.7,Kemi Kemi-Tornio lentoasema
67.16226,29.17766,2023-12-31 04:00:00,-9.6,Salla Naruska
61.05754,28.20873,2023-12-30 06:00:00,-3.7,Lappeenranta Lepola
61.05754,28.20873,2023-12-29 11:00:00,-4.7,Lappeenranta Lepola
65.78944,24.58278,2023-12-30 02:00:00,-11.6,Kemi Kemi-Tornio lentoasema
60.11584,20.29765,2023-12-31 13:00:00,-5.2,Lumparland Långnäs satama
61.03879,28.56395,2023-12-29 20:00:00,-2.6,Lappeenranta Konnunsuo
64.66589,24.40695,2023-12-28 23:00:00,-4.9,Raahe Lapaluoto satama
67.28296,28.1786,2023-12-29 12:00:00,-9.4,Savukoski kirkonkylä
62.32783,23.54228,2023-12-31 10:00:00,-19.8,Virrat Äijänneva
63.43508,21.06856,2024-01-01 09:00:00,-18.3,Mustasaari Valassaaret
60.11163,21.69828,2023-12-31 18:00:00,-10.2,Parainen Fagerholm
69.5825,28.89409,2023-12-30 08:00:00,-27.2,Inari Kirakkajärvi
65.01967,24.72758,2024-01-01 02:00:00,-20.4,Hailuoto Keskikylä
60.41875,24.39862,2023-12-31 01:00:00,-13.0,Vihti Maasoja
64.50144,26.42386,2023-12-30 13:00:00,-11.3,Vaala Pelso
63.75144,22.52282,2024-01-01 04:00:00,-17.6,Pietarsaari Kallan
65.99334,29.22715,2023-12-29 07:00:00,-9.3,Kuusamo lentoasema
67.66924,24.92927,2023-12-28 17:00:00,-18.7,Kittilä Pakatti
62.18329,22.79983,2023-12-28 13:00:00,-4.6,Karvia Alkkia
63.08225,25.85862,2023-12-31 00:00:00,-15.1,Viitasaari Haapaniemi
64.61178,23.89674,2023-12-30 22:00:00,-8.3,Raahe Nahkiainen
68.84928,28.29911,2023-12-28 17:00:00,-19.1,Inari Nellim
60.62773,25.19342,2023-12-29 12:00:00,-2.7,Mäntsälä Hirvihaara
60.12735,19.90038,2023-12-30 05:00:00,-0.4,Jomala Maarianhamina lentoasema
61.68751,27.20671,2023-12-28 16:00:00,-5.0,Mikkeli Lentoasema AWOS
65.99763,29.22268,2024-01-01 01:00:00,-27.6,Kuusamo Välikangas
61.05408,25.03844,2023-12-29 14:00:00,-3.8,Hämeenlinna Lammi Pappila
61.63042,21.3762,2023-12-29 09:00:00,-0.7,Pori Tahkoluoto satama
59.50454,20.34748,2023-12-28 22:00:00,3.9,Kökar Bogskär
60.37788,22.0964,2023-12-29 18:00:00,0.6,Turku Rajakari
65.01967,24.72758,2023-12-30 08:00:00,-12.9,Hailuoto Keskikylä
61.05408,25.03844,2023-12-31 00:00:00,-14.7,Hämeenlinna Lammi Pappila
60.97465,25.6202,2023-12-29 17:00:00,-3.7,Lahti Sopenkorpi
61.03879,28.56395,2023-12-28 18:00:00,-5.5,Lappeenranta Konnunsuo
60.64668,23.80559,2023-12-31 08:00:00,-16.4,Somero Salkola
60.27476,26.44759,2023-12-31 14:00:00,-10.9,Loviisa Orrengrund
65.67319,24.5152,2024-01-01 07:00:00,-22.8,Kemi Ajos
61.51757,23.75388,2024-01-01 07:00:00,-21.2,Tampere Siilinkari
