station,lat,lon
Haapavesi Mustikkamäki,64.14263,25.42335
Pyhäjärvi Ojakylä,63.73589,25.70573
Kajaani lentoasema,64.2829,27.67114
Vieremä Kaarakkala,63.8409,27.22061
Nurmes Valtimo,63.6673,28.82927
Sotkamo Kuolaniemi,64.11197,28.33639
Kuhmo Kalliojoki,64.29756,30.17068
Raahe Nahkiainen,64.61178,23.89674
Hailuoto Keskikylä,65.01967,24.72758
Kemi I majakka,65.38508,24.09568
Hailuoto Marjaniemi,65.03975,24.56118
Raahe Lapaluoto satama,64.66589,24.40695
Oulu lentoasema,64.93503,25.3392
Siikajoki Ruukki,64.68421,25.08919
Oulu Vihreäsaari satama,65.00637,25.39325
Vaala Pelso,64.50144,26.42386
Pudasjärvi lentokenttä,65.40014,26.96311
Suomussalmi Pesiö,64.93125,28.74672
Puolanka Paljakka,64.66392,28.0567
Kemi Kemi-Tornio lentoasema,65.78944,24.58278
Kemi Ajos,65.67318,24.51519
Tornio Kaakkuri,65.86893,24.17936
Ranua lentokenttä,65.97717,26.36757
Taivalkoski kirkonkylä,65.57489,28.21766
Kuusamo lentoasema,65.99334,29.22715
Kuusamo Kiutaköngäs,66.36999,29.31188
Kuusamo Rukatunturi,66.16614,29.15177
Kuusamo Juuma,66.32027,29.39967
Ylitornio Meltosjärvi,66.52952,24.6496
Pello kirkonkylä,66.77278,23.96303
Rovaniemi rautatieasema,66.49832,25.7088
Sodankylä Tähtelä,67.36663,26.62901
Rovaniemi Apukka,66.57944,26.01094
Sodankylä Luosto,67.1391,26.89692
Kemijärvi lentokenttä,66.71556,27.15906
Savukoski kirkonkylä,67.28296,28.1786
Pelkosenniemi Pyhätunturi,67.02191,27.21827
Salla kirkonkylä,66.8166,28.68829
Salla Naruska,67.16226,29.17766
Enontekiö lentoasema,68.3614,23.42755
Muonio Laukukero,68.06284,24.03335
Muonio Sammaltunturi,67.97328,24.11559
Kittilä Matorova,67.99996,24.24016
Kittilä lentoasema,67.69168,24.85538
Kittilä Kenttärova,67.98721,24.24301
Kittilä Pakatti,67.66924,24.92927
Kittilä Pokka,68.16961,25.78316
Sodankylä Lokka,67.82147,27.74597
Sodankylä Vuotso,68.08422,27.18501
Inari Saariselkä matkailukeskus,68.41507,27.41323
Inari Saariselkä Kaunispää,68.43399,27.44515
Inari Raja-Jooseppi Kontiojärvi,68.47055,28.31572
Salla Värriötunturi,67.74858,29.61132
Enontekiö Kilpisjärvi kyläkeskus,69.03905,20.81379
Enontekiö Kilpisjärvi Saana,69.04277,20.85091
Enontekiö Näkkälä,68.60301,23.57595
Inari Angeli Lintupuoliselkä,68.90296,25.73646
Inari Ivalo lentoasema,68.61336,27.4189
Utsjoki Kevo,69.75637,27.00678
Utsjoki Nuorgam,70.08203,27.8965
Inari Kaamanen,69.14089,27.26567
Inari Nellim,68.84928,28.29911
Inari Kirakkajärvi,69.5825,28.89409
Järvenpää Sorto,60.49825,25.06755
Mäntsälä Hirvihaara,60.62773,25.19342
Helsinki Vuosaari Käärmeniementie,60.21935,25.17268
Lahti Sopenkorpi,60.97465,25.6202
Sipoo Itätoukki,60.10121,25.19439
Rauma Pyynpää,61.13658,21.51518
Muonio Oustajärvi,67.94823,23.70782
Pyhtää lentokenttä,60.48595,26.59209
Sotkamo Tuhkakylä,63.99618,28.05972
Tervola Loue,66.15352,24.99031
Maarianhamina Lotsberget,60.08764,19.93546
Savukoski Tulppio,67.7687,29.21102
Inkoo Jakobramsjö,59.99464,23.9956
Oulu Kaukovainio,64.99685,25.52233
Ranua Aho,66.15021,26.10784
Kajaani Petäisenniska,64.21678,27.75194
Utsjoki Kevo Kevojärvi,69.757,27.012
Inari Seitalaassa,69.04853,27.757
Ilmajoki Seinäjoki lentoasema,62.68571,22.84272
Rovaniemi lentoasema AWOS,66.57276,25.84848
Jyväskylä lentoasema AWOS,62.39332,25.68862
Puumala kirkonkylä,61.52242,28.18491
Helsinki Vuosaari satama,60.20867,25.1959
Maarianhamina Länsisatama,60.09136,19.9291
Lumparland Långnäs satama,60.11584,20.29765
Kittilä Lompolonvuoma,67.99746,24.20955
Espoo Nuuksio,60.29128,24.56782
Mikkeli Lentoasema AWOS,61.68751,27.20671
Espoo Tapiola,60.17797,24.78743
